series_id,night,event,step,timestamp
038441c925bb,1,onset,4992,2018-08-14T22:26:00-0400
038441c925bb,1,wakeup,10932,2018-08-15T06:41:00-0400
038441c925bb,2,onset,20244,2018-08-15T19:37:00-0400
038441c925bb,2,wakeup,27492,2018-08-16T05:41:00-0400
038441c925bb,3,onset,39996,2018-08-16T23:03:00-0400
038441c925bb,3,wakeup,44400,2018-08-17T05:10:00-0400
038441c925bb,4,onset,57240,2018-08-17T23:00:00-0400
038441c925bb,4,wakeup,62856,2018-08-18T06:48:00-0400
038441c925bb,5,onset,,
038441c925bb,5,wakeup,,
038441c925bb,6,onset,91296,2018-08-19T22:18:00-0400
038441c925bb,6,wakeup,97860,2018-08-20T07:25:00-0400
038441c925bb,7,onset,109500,2018-08-20T23:35:00-0400
038441c925bb,7,wakeup,118524,2018-08-21T12:07:00-0400
038441c925bb,8,onset,127296,2018-08-22T00:18:00-0400
038441c925bb,8,wakeup,133332,2018-08-22T08:41:00-0400
038441c925bb,9,onset,,
038441c925bb,9,wakeup,,
038441c925bb,10,onset,159972,2018-08-23T21:41:00-0400
038441c925bb,10,wakeup,167400,2018-08-24T08:00:00-0400
038441c925bb,11,onset,177036,2018-08-24T21:23:00-0400
038441c925bb,11,wakeup,180804,2018-08-25T02:37:00-0400
038441c925bb,12,onset,194220,2018-08-25T21:15:00-0400
038441c925bb,12,wakeup,202272,2018-08-26T08:26:00-0400
038441c925bb,13,onset,212304,2018-08-26T22:22:00-0400
038441c925bb,13,wakeup,219384,2018-08-27T08:12:00-0400
038441c925bb,14,onset,,
038441c925bb,14,wakeup,,
038441c925bb,15,onset,246324,2018-08-28T21:37:00-0400
038441c925bb,15,wakeup,253704,2018-08-29T07:52:00-0400
038441c925bb,16,onset,264144,2018-08-29T22:22:00-0400
038441c925bb,16,wakeup,270132,2018-08-30T06:41:00-0400
038441c925bb,17,onset,281376,2018-08-30T22:18:00-0400
038441c925bb,17,wakeup,287772,2018-08-31T07:11:00-0400
038441c925bb,18,onset,297576,2018-08-31T20:48:00-0400
038441c925bb,18,wakeup,305232,2018-09-01T07:26:00-0400
038441c925bb,19,onset,315900,2018-09-01T22:15:00-0400
038441c925bb,19,wakeup,322596,2018-09-02T07:33:00-0400
038441c925bb,20,onset,333492,2018-09-02T22:41:00-0400
038441c925bb,20,wakeup,339060,2018-09-03T06:25:00-0400
038441c925bb,21,onset,349596,2018-09-03T21:03:00-0400
038441c925bb,21,wakeup,355944,2018-09-04T05:52:00-0400
038441c925bb,22,onset,367020,2018-09-04T21:15:00-0400
038441c925bb,22,wakeup,369912,2018-09-05T01:16:00-0400
038441c925bb,23,onset,,
038441c925bb,23,wakeup,,
03d92c9f6f8a,1,onset,5928,2018-05-31T20:14:00-0400
